down in the dumps	deprimiert|niedergeschlagen|traurig|bedrückt|frustriert
not to take things personally	etwas nicht persönlich nehmen|sich nicht angegriffen fühlen|sich nicht beleidigt fühlen|sich nicht verletzt fühlen
Biting off more than you can chew	Sich übernehmen|Sich zu viel vornehmen|Sich überfordern|Sich zu viel zumuten
put his two cents in	sich einmischen|seinen Senf dazugeben|seine Meinung kundtun|sich einmischen, obwohl man nichts dazu beitragen kann
keep an eye out	aufeinander aufpassen|für die Sicherheit des anderen sorgen|für einander da sein|für einander einstehen
shooting for the moon	sich hohe Ziele setzen|nach den Sternen greifen|sich nicht mit weniger zufriedengeben|große Ambitionen haben
changes horses midstream	das Pferd wechseln|den Kurs ändern|die Meinung ändern|eine neue Richtung einschlagen
thrown for a loop	völlig überrascht sein|völlig aus der Bahn geworfen werden|völlig perplex sein|völlig verwirrt sein
jump through hoops	sich durchkämpfen|mühsam durchsetzen|sich anstrengen, um etwas zu erreichen|sich anstrengen, um etwas zu schaffen
letting her hair down	sich gehen lassen|sich entspannen|sich locker machen|sich amüsieren
lose sleep over something	sich Sorgen machen|nicht schlafen können wegen etwas|etwas beschäftigt einen sehr
get his ducks in a row	Ordnung schaffen|sich organisieren|sich vorbereiten|sich vorbereiten, um erfolgreich zu sein
hit it out of the park	etwas mit Bravour meistern|etwas hervorragend machen|eine großartige Leistung erbringen
manage her time better	ihre Zeit besser einteilen|ihre Zeit besser managen|ihre Zeit besser verwalten|ihre Zeit besser organisieren
fishy going on	etwas faul sein|etwas nicht stimmen|etwas verdächtig sein|etwas seltsam sein
reap what he sows	ernten, was er gesät hat|die Früchte seiner Arbeit ernten|für seine Arbeit belohnt werden
going around in circles	keine Fortschritte machen|sich im Kreis drehen|nicht vorankommen|keine Lösung finden
stick with it	dabei bleiben|durchhalten|nicht aufgeben|am Ball bleiben
on top of the world	sich wie im siebten Himmel fühlen|überglücklich sein|auf Wolke sieben schweben
let his hair down	sich entspannen|sich gehen lassen|sich amüsieren|sich vergnügen|locker werden
keep your eye on the ball	sich auf das Wesentliche konzentrieren|den Fokus behalten|sich auf das Ziel konzentrieren|sich auf das Wichtigste konzentrieren
fair shake	gerechte Chance|faire Gelegenheit|gleiche Möglichkeiten|gleiche Chancen
steals the show	die Show stehlen|im Mittelpunkt stehen|die Aufmerksamkeit auf sich ziehen|sich in den Vordergrund drängen
get them straightened out	Ordnung schaffen|in Ordnung bringen|wieder in Ordnung bringen|wiederherstellen|korrigieren|bereinigen
the best thing since sliced bread	etwas ist das Beste seit es etwas gibt|etwas ist das Größte seit es etwas gibt|etwas ist das Tollste seit es etwas gibt
burning the candle at both ends	sich überarbeiten|sich verausgaben|sich zu viel zumuten|sich zu viel abverlangen
carved out a successful career	sich eine erfolgreiche Karriere aufbauen|sich eine erfolgreiche Karriere erarbeiten|eine erfolgreiche Karriere schaffen
the ball	die Sache|die Aufgabe|die Verantwortung|das Projekt
made it big	es geschafft haben|groß rauskommen|groß rausgekommen sein|erfolgreich sein|erfolgreich geworden sein
dance to your own tune	sich nicht von anderen beeinflussen lassen|sein eigenes Ding machen|seinen eigenen Weg gehen|sich nicht von anderen vorschreiben lassen, was man tun soll
to keep your eye on the ball	sich auf das Wesentliche konzentrieren|den Fokus behalten|sich auf das Ziel konzentrieren|sich auf das Wichtigste konzentrieren
let her hair down	sich entspannen|sich gehen lassen|sich locker machen|sich amüsieren|sich vergnügen
keeping her in the dark	jemanden im Dunkeln lassen|jemanden im Unklaren lassen|jemanden im Ungewissen lassen
in a pickle	in der Klemme|in Schwierigkeiten|in einer Zwickmühle|in Verlegenheit|in einer misslichen Lage
throwing in the towel	aufgeben|das Handtuch werfen|sich geschlagen geben|kapitulieren
on the wrong side of the bed	mit dem falschen Fuß aufstehen
the brass ring	NA
test the waters	ausprobieren|testen|herantasten|sich vorsichtig annähern
six of one and half a dozen of the other	beides ist gleich|sechs von einem, halbes Dutzend vom anderen|kein Unterschied
seeing red	wütend sein|vor Wut kochen|rot sehen|außer sich sein|sich grün und blau ärgern
blow their socks off	jemanden beeindrucken|jemanden umhauen|jemanden begeistern|jemanden überzeugen
to let off steam	Dampf ablassen|sich abreagieren|sich Luft machen|sich entspannen
a shot in the dark	ein Schuss ins Blaue|ein Versuch ins Ungewisse|ein Sprung ins kalte Wasser
the green light	die Zustimmung|das Okay|das Go|das Startsignal|die Freigabe
hot water	Schwierigkeiten|Probleme|Ärger|Konflikt|Missgeschick
to see stars	Sterne sehen|Sternchen sehen|vor Augen haben|schwarz vor Augen werden|schwindelig werden
woke up on the wrong side of the bed	mit dem falschen Fuß aufgestanden sein|mit dem falschen Bein zuerst aufgestanden sein|schlecht gelaunt aufgewacht sein
rain check	verschieben|aufschieben|einen neuen Termin vereinbaren|ein andermal machen
blow his own trumpet	sich selbst loben|sich selbst beweihräuchern|sich selbst bewundern|sich selbst in den Himmel heben
shaken like a leaf	zittern wie Espenlaub|vor Angst zittern|vor Aufregung zittern
a tough cookie	eine harte Nuss|eine Herausforderung|schwierig zu bewältigen|schwierig zu meistern
black ice	NA
in her element	in ihrem Element sein|sich in ihrem Element befinden|sich in ihrem Element fühlen|in ihrem Element aufgehen
on pins and needles	auf heißen Kohlen sitzen|gespannt sein|nervös sein|unruhig sein
a rock and a hard place	zwischen zwei Stühlen sitzen|in der Zwickmühle sein|vor der Wahl stehen|vor einem Dilemma stehen
old hat	nicht mehr aktuell|nicht mehr interessant|ausgelutscht|abgedroschen|nicht mehr neu
hit the road	sich auf den Weg machen|losfahren|abfahren|aufbrechen|weggehen|sich verabschieden
a few tricks up their sleeve	ein paar Asse im Ärmel haben|ein paar Überraschungen bereithalten|noch etwas Besonderes bieten
to rock the boat	etwas riskieren|Unruhe stiften|für Aufregung sorgen|für Unruhe sorgen|für Ärger sorgen|für Probleme sorgen
to hit the sack	ins Bett gehen|sich schlafen legen|zu Bett gehen|sich zur Ruhe setzen
to follow one's heart	seinem Herzen folgen|seiner Leidenschaft folgen|seinen Träumen folgen|seinen Wünschen folgen
to get the ball rolling	etwas ins Rollen bringen|den Anfang machen|den Stein ins Rollen bringen|den Startschuss geben
to turn the corner	eine Wende schaffen|über den Berg sein|eine Besserung erreichen|eine Verbesserung erreichen
to see the light at the end of the tunnel	das Ende des Tunnels sehen|das Ziel erreichen|das Projekt abschließen|das Ende in Sicht haben
fishing in troubled waters	sich auf unsicheres Terrain begeben|sich in gefährliches Gewässer begeben|sich auf dünnem Eis bewegen
to take the bull by the horns	etwas entschlossen angehen|etwas mutig angehen|etwas energisch angehen|etwas beherzt angehen
out of this world	außergewöhnlich|herausragend|unglaublich gut|fantastisch|überragend
cracked a smile	ein Lächeln zeigen|lachen|grinsen|sich amüsieren|sich köstlich amüsieren
on the same page	auf derselben Wellenlänge sein|einig sein|gleiche Vorstellungen haben|einheitlich handeln
let you off the hook	verzeihen|durchgehen lassen|nicht bestrafen|nicht zur Rechenschaft ziehen
silly goose	alberner Gans|alberne Gans|albernes Huhn|alberner Vogel
turning the tables	das Blatt wenden|die Rollen umkehren|sich rächen|sich revanchieren
cross that bridge when we come to it	Das Problem aufschieben|Das Problem später lösen|Erstmal abwarten und dann entscheiden|Erstmal schauen, was passiert
hit it off	sich gut verstehen|sich auf Anhieb gut verstehen|sich auf Anhieb sympathisch sein|sich auf Anhieb mögen
blow off some steam	Dampf ablassen|sich abreagieren|sich entspannen|sich erholen
living in a dream world	in einer Traumwelt leben|in den Wolken schweben|nicht in der Realität leben
green behind the ears	unerfahren|unbedarft|noch nicht lange dabei|noch nicht viel Erfahrung haben
all thumbs	ungeschickt sein|tollpatschig sein|zwei linke Hände haben
bag of rags	unordentlich|ungepflegt|schlampig|verlottert
loose ends	offene Enden|ungeklärte Fragen|unvollständige Details|unbeantwortete Fragen
around the block	er hat schon einiges erlebt|er ist schon lange dabei|er hat schon viel Erfahrung gesammelt
more than I can chew	mehr, als ich bewältigen kann|zu viel auf einmal wollen|sich übernehmen|sich überfordern
paying off	sich auszahlen|erfolgreich sein|Früchte tragen|sich lohnen
blew my mind	hat mich umgehauen|hat mich beeindruckt|hat mich überzeugt|hat mich sprachlos gemacht
see eye-to-eye	sich auf Augenhöhe begegnen|sich einig sein|eine gemeinsame Basis finden
big cheese	wichtige Person|großer Fisch|einflussreiche Person|bedeutende Persönlichkeit
a tempest in a teapot	a storm in a teacup|much ado about nothing|making a mountain out of a molehill
make time	sich Zeit nehmen|Zeit freimachen|Zeit einräumen|Zeit opfern
count our chickens before they hatch	den Tag nicht vor dem Abend loben|nicht voreilig sein|nicht zu früh freuen|nicht zu früh jubeln
water under the bridge	vergessen und vergeben|Schnee von gestern|abgehakt|überwunden|vergangene Dinge, die keine Rolle mehr spielen
throws a curveball	eine unerwartete Schwierigkeit aufwerfen|eine unerwartete Herausforderung stellen|eine unerwartete Wendung nehmen
just what the doctor ordered	genau das Richtige|genau das, was sie braucht|eine Wohltat|eine Erleichterung
too little too late	zu wenig und zu spät|zu spät und zu wenig|nicht ausreichend und verspätet|NA
put all my eggs in one basket	alles auf ein Pferd setzen|alles auf eine Karte setzen
rubbing salt in my wounds	Salz in die Wunde streuen|Salz in die Wunden reiben|jemandem noch mehr wehtun|jemandem noch mehr verletzen
fly by the seat of his pants	etwas aus dem Bauch heraus entscheiden|etwas spontan entscheiden|etwas aus dem Stehgreif machen|etwas aus dem Moment heraus entscheiden
get lost	verschwinde|verzieh dich|zieh Leine|geh weg|verpiss dich
knowledge is power	Wissen ist Macht.
meet halfway	sich auf halbem Weg treffen|einen Kompromiss finden|sich einigen|auf einen Nenner kommen
keeping their eye on the ball	sich auf das Wesentliche konzentrieren|fokussiert bleiben|den Fokus nicht verlieren|sich auf das Ziel konzentrieren
paid through the nose	sehr viel bezahlen|überhöhte Preise zahlen|tief in die Tasche greifen|mehr bezahlen als notwendig
kick back and relax	sich zurücklehnen und entspannen|sich ausruhen und entspannen|sich zurücklehnen und die Seele baumeln lassen
keep their noses to the grindstone	sich ins Zeug legen|sich an die Arbeit machen|sich konzentrieren|sich anstrengen|hart arbeiten
get your ducks in a row	alles vorbereiten|alles organisieren|alles planen|alles in Ordnung bringen|alles auf die Reihe bekommen
be at each other's throats	ständig streiten|sich ständig in den Haaren liegen|sich ständig zanken|sich ständig kabbeln
stand their ground	auf seinem Standpunkt beharren|seine Meinung verteidigen|sich nicht beugen|nicht nachgeben|sich durchsetzen wollen
couldn't see the forest for the trees	sich im Detail verlieren|den Wald vor lauter Bäumen nicht sehen|sich in Kleinigkeiten verlieren|den Überblick verlieren
Time flies	Die Zeit vergeht wie im Flug.
burst a blood vessel	vor Wut platzen|vor Wut kochen|vor Wut explodieren|vor Wut fast platzen
get down to brass tacks	zur Sache kommen|zum Wesentlichen kommen|zur Kernfrage übergehen|zur Hauptsache kommen
the wrong side of the bed	mit dem falschen Fuß aufstehen
picks up the tab	die Rechnung übernehmen|für etwas aufkommen|bezahlen
knocked it out of the park	eine großartige Leistung erbringen|einen Volltreffer landen|einen grandiosen Erfolg erzielen
keep his head above water	sich über Wasser halten|sich über Wasser halten können|sich über Wasser halten in schwierigen Zeiten
has a chip on her shoulder	sich schnell angegriffen fühlen|schnell beleidigt sein|schnell gereizt sein|eine beleidigte Leberwurst sein
knows the ropes	sich auskennen|mit etwas vertraut sein|die Abläufe kennen|die Regeln kennen
set in their ways	festgefahren|eingefahren|stur|unbelehrbar|unflexibel
bit my tongue	sich zurückhalten|sich beherrschen|sich zusammenreißen|nichts sagen|nichts erwidern
find his feet	sich zurechtfinden|sich etablieren|Fuß fassen|sich einleben|sich akklimatisieren
in one ear and out the other	Das geht zum einen Ohr rein und zum anderen wieder raus.
back to square one	wieder am Anfang sein|wieder bei Null anfangen|wieder von vorne beginnen|wieder von vorn anfangen
come true	in Erfüllung gehen|wahr werden|sich erfüllen
beats around the bush	um den heißen Brei herumreden|ausweichend antworten|nicht konkret werden|sich nicht festlegen wollen
a flash in the pan	Something that initially shows great promise but quickly fails or disappoints.
hit the hay early	früh ins Bett gehen|früh schlafen gehen|sich früh zur Ruhe setzen
lost her marbles	verrückt werden|den Verstand verlieren|durcheinander geraten|verwirrt sein
wild card	Unberechenbarer Faktor|Unsicherheitsfaktor|Wundertüte|Überraschungspaket
a little birdie told me	Ich habe aus sicherer Quelle erfahren|Ich habe von jemandem gehört|Ich habe es durch die Blume erfahren
getting our ducks in a row	unsere Angelegenheiten in Ordnung bringen|unsere Angelegenheiten ordnen|unsere Angelegenheiten aufeinander abstimmen|unsere Angelegenheiten koordinieren
to count his chickens before they hatch	den Tag vor dem Abend loben|sich zu früh freuen|sich zu früh sicher sein|vorzeitig jubeln
to grin and bear it	sich zusammenreißen|sich beherrschen|durchhalten|durchbeißen|tapfer sein
control freak	Kontrollfreak|Kontrollwahn|Kontrollzwang|Kontrollsucht
took a rain check	verschieben|auf später verschieben|einen neuen Termin vereinbaren|ein andermal machen
live wire	energetic and lively person|someone who is full of energy and enthusiasm
chill out	entspannen|sich ausruhen|sich erholen|sich zurücklehnen|abschalten
off her chest	etwas loswerden|etwas von der Seele reden|sich etwas von der Seele reden|sich etwas von der Seele schreiben
down for the count	k.o. gehen|am Boden liegen|niederliegen|nicht mehr handlungsfähig sein|nicht mehr weitermachen können
light at the end of the tunnel	Hoffnungsschimmer|Lichtblick|positive Aussicht|positive Perspektive
to open a can of worms	ein heikles Thema ansprechen|eine heikle Angelegenheit aufmachen|eine Diskussion beginnen, die zu Problemen führen könnte
make hay while the sun shines	die Gunst der Stunde nutzen|eine günstige Gelegenheit nutzen|eine Chance ergreifen, solange sie da ist
find a needle in a haystack	etwas sehr Schwieriges oder Unmögliches finden|etwas sehr Kleines oder Verstecktes finden, das schwer zu finden ist
not even a crumb	nicht einmal einen Krümel|nichts übrig lassen|alles aufessen|nichts zurücklassen
hit the sack	ins Bett gehen|sich schlafen legen|sich zur Ruhe setzen|sich ausruhen
butterflies in your stomach	ein mulmiges Gefühl im Bauch haben|sich unwohl fühlen|nervös sein|Herzklopfen haben
to put on a brave face	eine tapfere Miene aufsetzen|sich nichts anmerken lassen|sich zusammenreißen|sich beherrschen
to pull out all the stops	alle Register ziehen|alle Hebel in Bewegung setzen|alles tun, was in der Macht steht|sich ins Zeug legen|sich voll reinhängen
a dish that steals the show	ein Gericht, das alle Blicke auf sich zieht|ein Gericht, das alle anderen Gerichte in den Schatten stellt|ein Gericht, das alle anderen Gerichte übertrifft
fail by a country mile	sang- und klanglos durchfallen|kläglich scheitern|weit entfernt von Erfolg sein
to shoot your shot	sein Glück versuchen|es probieren|eine Chance wagen|sein Schicksal herausfordern
to keep his head above water	sich über Wasser halten|nicht untergehen|nicht aufgeben|durchhalten|durchstehen
to prove them all wrong	jemandem das Gegenteil beweisen|alle Zweifel ausräumen|jemandem das Gegenteil zeigen|jemandem das Gegenteil demonstrieren
tie the knot	sich trauen|heiraten|den Bund fürs Leben schließen|vor den Traualtar treten
take it with a grain of salt	etwas nicht allzu ernst nehmen|etwas skeptisch betrachten|etwas mit Vorsicht genießen
pull someone's leg	jemanden auf den Arm nehmen|jemanden veräppeln|jemanden zum Narren halten
skip a beat	schneller schlagen|aussetzen|rasen|schneller schlagen lassen|schneller schlagen hören
to put my best foot forward	sich von der besten Seite zeigen|sich von der Schokoladenseite präsentieren|sich von der besten Seite präsentieren|sein Bestes geben|sein Bestes zeigen
keep his nose to the grindstone	sich auf die Arbeit konzentrieren|sich auf die Arbeit stürzen|sich auf die Arbeit fokussieren|sich auf die Arbeit konzentrieren|sich auf die Arbeit besinnen|sich auf die Arbeit konzentrieren|sich auf die Arbeit konzentrieren|sich auf die Arbeit konzentrieren|sich auf die Arbeit konzentrieren|sich auf die Arbeit konzentrieren|sich auf
get back on her feet	sich wieder aufrappeln|wieder auf die Beine kommen|sich erholen|sich wieder fangen
